Age,Gender,Location,Highest_qualification,Stream,Current_Academic_Level,Grade_CGPA_Percentage,Technical_Skills,Soft_Skills,Languages_Known,Certifications,Fields_of_Interest,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate,Suggested_Career_Path
18,Female,Mumbai,10th,Mechanical,Working Professional,66.8,"SQL, Java","Creativity, Communication, Problem Solving",Hindi,,AI/ML,Hybrid,Social,Part-time Job,Top Performer,Leadership,Yes,Deep Learning Engineer
28,Male,Delhi,M.Sc,ECE,Graduate,84.92,"Data Analysis, Python","Teamwork, Problem Solving, Time Management","Telugu, Kannada",AWS,Cybersecurity,Field Work,Technical,Research Assistant,None,Problem Solving,Yes,Ethical Hacker
19,Male,Chennai,B.Sc,EEE,Graduate,79.39,"Data Analysis, Node.js, HTML/CSS","Leadership, Problem Solving","Telugu, Hindi",Data Science,Software Development,Hybrid,Creative,Research Assistant,Published Paper,Teamwork,Yes,Software Engineer
23,Female,Delhi,M.Sc,BBA,Student,52.0,Node.js,"Time Management, Creativity, Teamwork",Tamil,,Software Development,Remote,Social,Part-time Job,None,Leadership,No,Software Engineer
27,Male,Pune,B.Sc,Civil,Graduate,61.91,"HTML/CSS, JavaScript, C++","Creativity, Time Management","Hindi, Kannada","Azure, GCP",Data Science,Office,Analytical,Internship at XYZ,Hackathon Winner,Problem Solving,No,Data Analyst
23,Other,Vizag,MBA,ECE,Graduate,66.87,"HTML/CSS, React, JavaScript","Problem Solving, Time Management, Communication",Kannada,,Management,Remote,Social,Research Assistant,Employee of the Month,Leadership,Yes,Operations Manager
23,Female,Vizag,B.Tech,ECE,Working Professional,56.73,"Java, Python, C++","Communication, Leadership, Teamwork","Tamil, English",,Management,Field Work,Analytical,Freelance Project,None,Data Analysis,No,Business Manager
18,Female,Pune,12th,BBA,Graduate,70.74,"Python, C++","Problem Solving, Teamwork","Marathi, Hindi",Full Stack Development,AI/ML,Remote,Technical,None,Published Paper,Teamwork,No,AI Researcher
30,Other,Chennai,B.Sc,Commerce,Graduate,94.69,React,Communication,Kannada,"Azure, Python",Design,Field Work,Technical,Internship at XYZ,Hackathon Winner,Data Analysis,Yes,Product Designer
27,Female,Delhi,M.Sc,CSE,Graduate,96.43,"React, Node.js, C++",Leadership,Kannada,Azure,Marketing,Remote,Creative,Part-time Job,Hackathon Winner,Teamwork,Yes,SEO Analyst
21,Female,Vizag,12th,Civil,Working Professional,88.08,"JavaScript, React, Data Analysis",Teamwork,Telugu,"Machine Learning, GCP",Design,Office,Analytical,Part-time Job,Top Performer,Programming,No,Graphic Designer
25,Male,Vizag,B.Tech,ECE,Working Professional,53.93,"Python, JavaScript, React","Teamwork, Leadership",English,GCP,Cybersecurity,Hybrid,Social,Freelance Project,Hackathon Winner,Programming,Yes,Cybersecurity Analyst
24,Other,Hyderabad,M.Sc,Commerce,Working Professional,73.15,"Data Analysis, C++, HTML/CSS","Leadership, Time Management, Creativity","Tamil, Kannada",,Cybersecurity,Remote,Analytical,Internship at XYZ,Top Performer,Teamwork,Yes,Security Engineer
19,Other,Amalapuram,MCA,EEE,Working Professional,99.68,"Data Analysis, React","Time Management, Communication, Teamwork",Marathi,"Python, GCP",Data Science,Office,Analytical,Research Assistant,None,Teamwork,No,Business Analyst
21,Other,Delhi,M.Tech,EEE,Working Professional,73.53,"SQL, HTML/CSS, React","Teamwork, Leadership, Time Management","Tamil, English","Data Science, Azure",Marketing,Office,Creative,None,Hackathon Winner,Leadership,No,Digital Marketing Specialist
24,Other,Bangalore,B.Tech,Civil,Working Professional,92.98,"React, JavaScript, Node.js","Teamwork, Problem Solving, Communication","English, Kannada",Python,Data Science,Field Work,Technical,Internship at XYZ,Hackathon Winner,Problem Solving,No,Data Analyst
27,Male,Amalapuram,M.Sc,ECE,Working Professional,94.47,"SQL, HTML/CSS",Creativity,Hindi,,Cybersecurity,Hybrid,Creative,Freelance Project,Employee of the Month,Data Analysis,No,Security Engineer
20,Male,Bangalore,MBA,ECE,Working Professional,65.94,JavaScript,"Creativity, Time Management, Problem Solving",English,"Machine Learning, Full Stack Development",Cybersecurity,Field Work,Social,None,Hackathon Winner,Project Management,Yes,Ethical Hacker
19,Other,Pune,MBA,IT,Student,93.92,"React, JavaScript","Teamwork, Time Management","Marathi, Tamil",,Cybersecurity,Hybrid,Technical,Part-time Job,Published Paper,Project Management,No,Security Engineer
25,Male,Bangalore,MBA,EEE,Working Professional,79.03,"C++, Python, Data Analysis","Teamwork, Communication, Time Management",Marathi,Full Stack Development,Design,Hybrid,Social,Research Assistant,Hackathon Winner,Problem Solving,No,Graphic Designer
18,Other,Vizag,B.Tech,ECE,Working Professional,69.09,"SQL, Data Analysis","Teamwork, Time Management, Problem Solving","Hindi, Marathi","GCP, Data Science",AI/ML,Hybrid,Analytical,Internship at XYZ,Published Paper,Teamwork,Yes,Machine Learning Engineer
24,Other,Pune,M.Sc,CSE,Working Professional,80.84,C++,"Teamwork, Leadership",Telugu,"Azure, AWS",Cybersecurity,Hybrid,Creative,Research Assistant,Hackathon Winner,Teamwork,No,Security Engineer
29,Female,Vizag,MCA,EEE,Student,83.62,"Node.js, Python",Teamwork,"Hindi, Telugu",Data Science,Data Science,Hybrid,Social,Freelance Project,Employee of the Month,Leadership,No,Data Analyst
27,Female,Chennai,B.Sc,IT,Working Professional,86.1,Python,"Creativity, Problem Solving",Marathi,GCP,Marketing,Office,Creative,None,Published Paper,Problem Solving,Yes,Marketing Executive
26,Female,Chennai,B.Tech,Mechanical,Graduate,85.36,"Python, React, Node.js","Communication, Leadership",Telugu,"AWS, Azure",Software Development,Remote,Technical,Part-time Job,Published Paper,Project Management,No,Full Stack Developer
24,Male,Chennai,B.Sc,EEE,Working Professional,66.7,"Java, HTML/CSS, JavaScript",Teamwork,Telugu,,Cybersecurity,Office,Analytical,None,Hackathon Winner,Data Analysis,Yes,Cybersecurity Analyst
20,Male,Hyderabad,B.Sc,IT,Graduate,97.59,"C++, JavaScript, Python","Communication, Time Management",Marathi,,Management,Remote,Technical,Part-time Job,Hackathon Winner,Programming,No,Operations Manager
27,Other,Amalapuram,B.Tech,Mechanical,Graduate,65.11,"JavaScript, C++","Communication, Teamwork",Hindi,Azure,Design,Hybrid,Creative,Internship at XYZ,Employee of the Month,Leadership,Yes,Product Designer
23,Other,Pune,M.Tech,ECE,Working Professional,70.56,"C++, HTML/CSS, Data Analysis","Creativity, Teamwork, Problem Solving","Marathi, Kannada","Azure, Full Stack Development",Cybersecurity,Office,Creative,None,Hackathon Winner,Leadership,Yes,Ethical Hacker
19,Male,Amalapuram,MCA,IT,Graduate,63.37,JavaScript,"Teamwork, Leadership",Tamil,GCP,Design,Field Work,Social,Startup Experience,None,Project Management,Yes,Product Designer
20,Male,Bangalore,M.Tech,EEE,Student,86.44,SQL,Time Management,Hindi,Full Stack Development,Marketing,Remote,Creative,Startup Experience,Awarded Best Project,Project Management,Yes,Digital Marketing Specialist
19,Female,Delhi,12th,BBA,Student,52.82,"SQL, React","Leadership, Communication, Teamwork","Kannada, Tamil",Machine Learning,Data Science,Field Work,Social,Freelance Project,Top Performer,Problem Solving,Yes,Data Scientist
27,Female,Amalapuram,12th,Mechanical,Student,51.38,"HTML/CSS, React, Node.js","Problem Solving, Teamwork, Time Management",Hindi,"Python, Azure",Management,Field Work,Technical,Startup Experience,Published Paper,Programming,No,Business Manager
27,Male,Vizag,B.Tech,ECE,Working Professional,95.48,"Node.js, Data Analysis, React","Creativity, Problem Solving, Teamwork","Marathi, Telugu","Full Stack Development, GCP",Marketing,Field Work,Technical,Startup Experience,Employee of the Month,Teamwork,Yes,Digital Marketing Specialist
22,Male,Chennai,M.Sc,BBA,Graduate,67.93,"C++, HTML/CSS, Data Analysis","Time Management, Problem Solving, Teamwork","Marathi, Tamil",Azure,Software Development,Remote,Social,None,Published Paper,Problem Solving,Yes,Backend Developer
28,Female,Amalapuram,12th,EEE,Student,73.69,"React, Node.js","Communication, Problem Solving, Time Management","Telugu, Marathi","Full Stack Development, Python",Design,Office,Technical,Part-time Job,Published Paper,Problem Solving,No,Product Designer
19,Female,Pune,B.Sc,Commerce,Student,90.02,C++,"Teamwork, Creativity, Time Management","English, Marathi",Azure,Marketing,Office,Analytical,None,Published Paper,Data Analysis,Yes,SEO Analyst
22,Female,Hyderabad,B.Tech,ECE,Working Professional,74.89,"HTML/CSS, C++","Creativity, Problem Solving, Communication","Kannada, Hindi",GCP,Software Development,Field Work,Creative,Freelance Project,None,Programming,Yes,Full Stack Developer
27,Other,Mumbai,M.Sc,Commerce,Graduate,51.85,C++,"Leadership, Creativity, Teamwork",Kannada,"Full Stack Development, Data Science",Data Science,Hybrid,Technical,Startup Experience,Awarded Best Project,Teamwork,Yes,Business Analyst
29,Female,Pune,M.Tech,CSE,Graduate,57.51,"Data Analysis, JavaScript, Java",Leadership,"Tamil, English",Python,Data Science,Office,Technical,Freelance Project,None,Teamwork,Yes,Business Analyst
18,Other,Mumbai,M.Sc,BBA,Graduate,79.4,"JavaScript, Node.js",Communication,"Tamil, English","Full Stack Development, Python",Management,Hybrid,Social,Freelance Project,Awarded Best Project,Problem Solving,Yes,Project Manager
22,Female,Pune,10th,Mechanical,Student,98.1,React,"Communication, Leadership, Teamwork","Tamil, English",GCP,Management,Remote,Analytical,Freelance Project,Top Performer,Problem Solving,No,Project Manager
22,Other,Bangalore,12th,Civil,Graduate,62.01,"Python, JavaScript, Java",Problem Solving,"Telugu, Hindi","AWS, Python",Cybersecurity,Field Work,Technical,Part-time Job,Top Performer,Teamwork,Yes,Cybersecurity Analyst
30,Male,Bangalore,M.Sc,Civil,Working Professional,75.03,"HTML/CSS, React",Creativity,"Tamil, Kannada","Full Stack Development, GCP",Design,Hybrid,Technical,Research Assistant,Awarded Best Project,Leadership,No,UI/UX Designer
24,Female,Hyderabad,10th,ECE,Graduate,99.4,"C++, Data Analysis, Node.js","Teamwork, Time Management, Creativity","Kannada, Telugu",Azure,Software Development,Hybrid,Analytical,None,Employee of the Month,Project Management,No,Full Stack Developer
25,Female,Hyderabad,MBA,Civil,Student,75.03,SQL,"Problem Solving, Time Management",Marathi,,AI/ML,Office,Creative,Freelance Project,Hackathon Winner,Data Analysis,No,AI Researcher
23,Other,Pune,MCA,BBA,Student,80.05,"Node.js, SQL, React","Time Management, Creativity, Leadership","Telugu, English",Machine Learning,Data Science,Hybrid,Analytical,Freelance Project,Awarded Best Project,Data Analysis,Yes,Data Analyst
27,Female,Chennai,B.Sc,BBA,Student,95.38,React,Leadership,Telugu,"Full Stack Development, Python",Software Development,Office,Social,Internship at XYZ,Top Performer,Leadership,No,Full Stack Developer
23,Other,Chennai,B.Tech,ECE,Graduate,78.88,"Java, Node.js","Leadership, Teamwork, Problem Solving","Kannada, Marathi",,Design,Remote,Analytical,None,Published Paper,Teamwork,No,Product Designer
27,Female,Bangalore,M.Tech,CSE,Working Professional,77.05,"SQL, Java","Time Management, Creativity, Problem Solving",Tamil,"Azure, Data Science",Software Development,Remote,Analytical,Freelance Project,Hackathon Winner,Problem Solving,Yes,Backend Developer
30,Male,Chennai,B.Sc,ECE,Student,59.5,Python,"Problem Solving, Communication",Tamil,Data Science,Cybersecurity,Remote,Analytical,Internship at XYZ,Awarded Best Project,Programming,Yes,Cybersecurity Analyst
18,Male,Pune,M.Sc,Mechanical,Working Professional,93.51,SQL,"Time Management, Leadership","Tamil, English",,Management,Hybrid,Social,Part-time Job,Published Paper,Programming,Yes,Operations Manager
18,Other,Amalapuram,10th,BBA,Working Professional,96.35,HTML/CSS,"Problem Solving, Teamwork",Marathi,,Cybersecurity,Remote,Social,Research Assistant,Awarded Best Project,Problem Solving,Yes,Ethical Hacker
19,Other,Mumbai,B.Tech,Mechanical,Graduate,74.79,React,"Time Management, Leadership, Teamwork",English,,AI/ML,Remote,Creative,Freelance Project,Top Performer,Project Management,No,Machine Learning Engineer
22,Female,Amalapuram,10th,IT,Graduate,97.03,C++,Leadership,Telugu,Azure,Data Science,Remote,Analytical,Research Assistant,None,Programming,No,Business Analyst
26,Male,Vizag,B.Sc,Civil,Working Professional,54.52,SQL,"Creativity, Communication, Problem Solving","Hindi, English",AWS,Management,Office,Technical,Research Assistant,Hackathon Winner,Teamwork,Yes,Project Manager
18,Other,Chennai,M.Tech,EEE,Working Professional,82.44,C++,"Creativity, Communication","Marathi, English",,Management,Office,Social,Startup Experience,None,Problem Solving,No,Project Manager
21,Female,Vizag,M.Tech,Civil,Working Professional,87.62,"React, C++",Creativity,"Marathi, English",Python,Cybersecurity,Hybrid,Creative,Research Assistant,Published Paper,Problem Solving,Yes,Security Engineer
19,Female,Bangalore,M.Sc,EEE,Working Professional,87.2,Java,Leadership,"Tamil, Telugu",,Cybersecurity,Office,Technical,None,Published Paper,Problem Solving,No,Cybersecurity Analyst
22,Male,Delhi,MCA,ECE,Working Professional,57.01,"HTML/CSS, Java, Data Analysis",Creativity,"English, Marathi",,Cybersecurity,Hybrid,Social,None,Top Performer,Leadership,Yes,Security Engineer
30,Male,Vizag,MCA,Civil,Graduate,53.51,"C++, React","Problem Solving, Teamwork","Telugu, Hindi","Full Stack Development, Python",Marketing,Field Work,Creative,Research Assistant,Hackathon Winner,Problem Solving,Yes,SEO Analyst
19,Male,Chennai,MBA,Mechanical,Student,62.64,"JavaScript, Data Analysis, React",Creativity,"Kannada, Hindi",,Software Development,Hybrid,Creative,Startup Experience,None,Teamwork,Yes,Backend Developer
23,Male,Vizag,MCA,Mechanical,Student,64.54,"SQL, Data Analysis","Teamwork, Creativity, Communication","English, Telugu","Python, Full Stack Development",Cybersecurity,Office,Technical,Research Assistant,None,Data Analysis,No,Ethical Hacker
25,Other,Mumbai,B.Sc,Mechanical,Working Professional,56.2,"Python, React, Java","Teamwork, Time Management, Creativity",Marathi,Machine Learning,AI/ML,Field Work,Social,Research Assistant,Hackathon Winner,Problem Solving,Yes,AI Researcher
30,Female,Delhi,M.Tech,EEE,Student,54.84,"C++, Python","Leadership, Teamwork","Hindi, Kannada","GCP, Python",Marketing,Hybrid,Social,Research Assistant,Hackathon Winner,Project Management,Yes,Digital Marketing Specialist
27,Male,Hyderabad,B.Sc,EEE,Working Professional,67.86,"React, Python, Node.js","Problem Solving, Teamwork",Hindi,"Python, AWS",Marketing,Hybrid,Creative,Internship at XYZ,None,Leadership,No,Marketing Executive
28,Male,Chennai,B.Tech,IT,Working Professional,80.78,"Java, JavaScript, C++","Problem Solving, Creativity, Teamwork",Hindi,"Data Science, Full Stack Development",Cybersecurity,Remote,Technical,None,Top Performer,Problem Solving,Yes,Cybersecurity Analyst
23,Female,Pune,M.Tech,ECE,Working Professional,89.2,"SQL, Node.js","Time Management, Teamwork",Telugu,,AI/ML,Office,Creative,Internship at XYZ,Awarded Best Project,Project Management,Yes,AI Researcher
27,Male,Vizag,B.Tech,Commerce,Working Professional,68.18,"HTML/CSS, JavaScript",Teamwork,"Tamil, Marathi",Full Stack Development,Marketing,Remote,Analytical,Part-time Job,Published Paper,Programming,No,Digital Marketing Specialist
19,Male,Delhi,MBA,Civil,Student,93.84,"React, Java, HTML/CSS","Teamwork, Communication, Problem Solving","Hindi, Kannada",Python,Cybersecurity,Remote,Social,Freelance Project,Published Paper,Teamwork,Yes,Ethical Hacker
21,Other,Vizag,M.Sc,Mechanical,Working Professional,92.28,Python,Communication,Hindi,,Software Development,Office,Analytical,Internship at XYZ,Employee of the Month,Leadership,Yes,Backend Developer
29,Male,Amalapuram,MBA,Civil,Working Professional,90.32,"Java, C++, SQL","Problem Solving, Teamwork, Leadership",Tamil,"Data Science, Machine Learning",Cybersecurity,Remote,Analytical,Internship at XYZ,Published Paper,Programming,No,Security Engineer
18,Female,Delhi,MBA,Civil,Working Professional,87.61,"JavaScript, React","Problem Solving, Leadership, Creativity","Tamil, Hindi",Azure,Software Development,Office,Analytical,Internship at XYZ,Hackathon Winner,Programming,Yes,Software Engineer
25,Female,Bangalore,B.Tech,ECE,Working Professional,69.98,"Java, C++, React",Creativity,"Telugu, Marathi","GCP, Azure",AI/ML,Office,Analytical,Freelance Project,Published Paper,Programming,No,Machine Learning Engineer
20,Female,Delhi,MBA,Civil,Working Professional,54.53,"SQL, HTML/CSS","Communication, Leadership","Kannada, Hindi",,AI/ML,Hybrid,Social,Part-time Job,Employee of the Month,Data Analysis,No,Deep Learning Engineer
30,Female,Chennai,MBA,EEE,Student,64.06,"React, Python, Java","Creativity, Time Management, Leadership",Kannada,,Software Development,Hybrid,Technical,Part-time Job,Employee of the Month,Data Analysis,Yes,Full Stack Developer
26,Female,Mumbai,MCA,Commerce,Graduate,58.42,React,"Leadership, Communication, Teamwork","Hindi, Tamil",,Data Science,Office,Technical,Freelance Project,Top Performer,Project Management,Yes,Data Analyst
28,Male,Delhi,M.Tech,Civil,Student,83.32,"Node.js, Python, Java","Leadership, Time Management","Tamil, English","Machine Learning, GCP",Management,Office,Social,Freelance Project,Awarded Best Project,Data Analysis,Yes,Business Manager
25,Other,Pune,M.Sc,Commerce,Student,89.14,JavaScript,"Creativity, Time Management","Hindi, Telugu",Data Science,Software Development,Hybrid,Creative,Freelance Project,Awarded Best Project,Data Analysis,No,Software Engineer
24,Other,Vizag,M.Tech,CSE,Working Professional,92.98,"JavaScript, C++, SQL","Creativity, Communication, Problem Solving",Tamil,"Machine Learning, Data Science",Cybersecurity,Hybrid,Social,Startup Experience,Top Performer,Programming,No,Security Engineer
27,Female,Mumbai,MCA,Commerce,Working Professional,70.76,"Node.js, HTML/CSS, SQL",Creativity,Marathi,Data Science,Design,Remote,Analytical,None,Awarded Best Project,Teamwork,No,UI/UX Designer
29,Male,Hyderabad,12th,IT,Graduate,76.47,React,Creativity,Kannada,,Data Science,Remote,Creative,Internship at XYZ,Top Performer,Data Analysis,No,Data Scientist
18,Male,Hyderabad,M.Tech,Commerce,Student,83.88,"JavaScript, Data Analysis, Python","Communication, Creativity, Leadership",Marathi,,Data Science,Field Work,Creative,Internship at XYZ,None,Programming,Yes,Data Analyst
26,Male,Hyderabad,12th,IT,Working Professional,60.03,"Node.js, SQL, Java","Teamwork, Communication",Telugu,Python,Design,Field Work,Technical,Research Assistant,Hackathon Winner,Leadership,Yes,Graphic Designer
23,Other,Pune,M.Tech,EEE,Graduate,87.31,"Node.js, JavaScript","Leadership, Time Management",Marathi,Full Stack Development,Cybersecurity,Hybrid,Technical,Startup Experience,Employee of the Month,Data Analysis,No,Cybersecurity Analyst
29,Female,Bangalore,B.Tech,Commerce,Graduate,77.52,Node.js,"Teamwork, Problem Solving","Telugu, Tamil","AWS, Data Science",Data Science,Office,Analytical,Part-time Job,Hackathon Winner,Data Analysis,No,Data Analyst
22,Male,Hyderabad,M.Tech,CSE,Graduate,53.08,JavaScript,"Leadership, Time Management","Kannada, Marathi","AWS, Machine Learning",AI/ML,Field Work,Social,Freelance Project,Published Paper,Problem Solving,Yes,Machine Learning Engineer
26,Male,Delhi,10th,BBA,Student,84.05,SQL,Problem Solving,Telugu,,Design,Remote,Social,None,Hackathon Winner,Project Management,Yes,Product Designer
20,Other,Chennai,10th,EEE,Student,80.74,"Node.js, SQL","Creativity, Problem Solving",Hindi,,Cybersecurity,Field Work,Social,None,None,Project Management,No,Security Engineer
18,Other,Amalapuram,B.Tech,Mechanical,Graduate,72.2,SQL,"Creativity, Problem Solving",Telugu,,Cybersecurity,Office,Technical,Startup Experience,Employee of the Month,Data Analysis,No,Cybersecurity Analyst
25,Female,Vizag,12th,IT,Student,67.19,"HTML/CSS, JavaScript, Data Analysis",Time Management,"English, Kannada",,Cybersecurity,Remote,Social,Startup Experience,Published Paper,Leadership,Yes,Cybersecurity Analyst
23,Other,Vizag,B.Sc,Mechanical,Student,56.55,"React, Python, C++","Creativity, Problem Solving, Leadership",Marathi,"Python, Azure",Design,Hybrid,Social,Research Assistant,Published Paper,Problem Solving,Yes,UI/UX Designer
25,Male,Hyderabad,10th,Mechanical,Working Professional,91.48,Node.js,Creativity,"Marathi, Hindi","GCP, Data Science",Data Science,Hybrid,Creative,Startup Experience,Employee of the Month,Teamwork,No,Data Analyst
21,Female,Pune,M.Tech,Mechanical,Student,98.68,"Python, Node.js",Teamwork,Telugu,"Python, Full Stack Development",Software Development,Field Work,Social,None,Top Performer,Programming,Yes,Frontend Developer
19,Male,Delhi,M.Tech,CSE,Student,94.85,SQL,Creativity,"Hindi, Tamil",,Design,Office,Analytical,Part-time Job,None,Problem Solving,No,Graphic Designer
18,Other,Delhi,MBA,IT,Graduate,89.03,"C++, Data Analysis, JavaScript","Problem Solving, Teamwork","English, Hindi","Python, Full Stack Development",Cybersecurity,Hybrid,Technical,Research Assistant,None,Teamwork,No,Cybersecurity Analyst
21,Male,Mumbai,12th,EEE,Graduate,53.36,HTML/CSS,"Problem Solving, Communication",Marathi,,Data Science,Remote,Analytical,Startup Experience,None,Teamwork,Yes,Data Scientist
26,Male,Vizag,B.Tech,EEE,Working Professional,86.95,"C++, JavaScript, Java","Creativity, Leadership, Problem Solving",English,Azure,Data Science,Field Work,Social,None,Employee of the Month,Problem Solving,No,Data Analyst
19,Male,Bangalore,B.Tech,BBA,Graduate,95.48,"Data Analysis, SQL","Teamwork, Leadership, Creativity","English, Tamil","AWS, GCP",Cybersecurity,Field Work,Social,Internship at XYZ,Top Performer,Programming,No,Cybersecurity Analyst
23,Male,Bangalore,MCA,CSE,Student,95.64,"Node.js, Data Analysis","Problem Solving, Communication","Marathi, Kannada","Azure, Data Science",Management,Remote,Creative,None,Employee of the Month,Programming,No,Operations Manager
24,Male,Amalapuram,M.Sc,IT,Working Professional,80.25,HTML/CSS,"Teamwork, Problem Solving",Marathi,Python,Data Science,Hybrid,Technical,Startup Experience,Employee of the Month,Project Management,Yes,Data Analyst
19,Female,Pune,M.Sc,EEE,Graduate,54.85,Data Analysis,"Leadership, Creativity","Hindi, Kannada","AWS, Full Stack Development",Management,Field Work,Analytical,Part-time Job,Employee of the Month,Teamwork,No,Project Manager
29,Other,Amalapuram,MBA,BBA,Student,61.1,"HTML/CSS, Java, JavaScript",Leadership,Marathi,Data Science,Cybersecurity,Office,Creative,Part-time Job,None,Project Management,Yes,Ethical Hacker
27,Other,Chennai,MCA,ECE,Student,63.95,Node.js,Creativity,"Telugu, Kannada",,Cybersecurity,Field Work,Technical,None,None,Programming,No,Security Engineer
19,Other,Bangalore,B.Sc,CSE,Working Professional,77.83,HTML/CSS,"Leadership, Problem Solving, Teamwork",Telugu,"Full Stack Development, GCP",Management,Field Work,Analytical,Startup Experience,Hackathon Winner,Data Analysis,No,Project Manager
28,Male,Hyderabad,12th,CSE,Graduate,63.33,"SQL, Node.js, HTML/CSS",Problem Solving,English,Full Stack Development,Management,Remote,Analytical,Startup Experience,Employee of the Month,Project Management,No,Operations Manager
29,Female,Hyderabad,B.Tech,Mechanical,Student,85.29,"SQL, C++, Python","Problem Solving, Communication, Creativity",English,"Full Stack Development, Machine Learning",Design,Field Work,Technical,Internship at XYZ,Published Paper,Problem Solving,No,Product Designer
27,Male,Hyderabad,MBA,Civil,Student,58.2,Data Analysis,"Creativity, Communication, Time Management",English,,Marketing,Hybrid,Creative,Part-time Job,None,Project Management,No,SEO Analyst
21,Other,Chennai,M.Sc,BBA,Graduate,77.67,"Node.js, React",Leadership,Kannada,Python,Software Development,Field Work,Creative,Startup Experience,Employee of the Month,Project Management,Yes,Full Stack Developer
22,Male,Hyderabad,MBA,Civil,Student,99.96,React,Time Management,"Kannada, Tamil",,Marketing,Hybrid,Creative,Startup Experience,Top Performer,Teamwork,Yes,Digital Marketing Specialist
25,Female,Vizag,B.Sc,Mechanical,Working Professional,63.4,Java,"Communication, Creativity",Kannada,,AI/ML,Hybrid,Technical,None,Published Paper,Programming,No,AI Researcher
21,Other,Amalapuram,10th,Commerce,Student,72.03,Node.js,"Creativity, Problem Solving, Communication",Telugu,Azure,Marketing,Hybrid,Analytical,None,Published Paper,Teamwork,Yes,Marketing Executive
29,Female,Hyderabad,MCA,EEE,Graduate,67.43,React,Leadership,Hindi,,Software Development,Office,Analytical,Part-time Job,Employee of the Month,Programming,Yes,Software Engineer
18,Female,Vizag,B.Sc,Mechanical,Student,97.95,"JavaScript, Python",Time Management,"Kannada, Hindi",,Management,Office,Analytical,Freelance Project,Published Paper,Leadership,Yes,Operations Manager
22,Male,Chennai,B.Tech,Mechanical,Graduate,75.77,"Node.js, Java, Python","Teamwork, Communication","Hindi, Kannada",,Management,Office,Analytical,None,Awarded Best Project,Project Management,Yes,Project Manager
24,Female,Chennai,M.Tech,IT,Student,57.4,Data Analysis,Time Management,Tamil,"AWS, Data Science",AI/ML,Field Work,Technical,Internship at XYZ,None,Programming,No,Machine Learning Engineer
22,Other,Mumbai,B.Tech,IT,Student,61.45,"JavaScript, Node.js, Java","Time Management, Creativity, Leadership",Tamil,,Software Development,Office,Analytical,Startup Experience,Top Performer,Problem Solving,No,Full Stack Developer
21,Male,Delhi,M.Tech,CSE,Graduate,75.42,"React, Python","Leadership, Creativity","Marathi, Telugu",Full Stack Development,Management,Office,Social,Part-time Job,Hackathon Winner,Data Analysis,Yes,Business Manager
26,Other,Vizag,M.Tech,ECE,Graduate,71.54,JavaScript,Time Management,"Marathi, Kannada",,Design,Field Work,Analytical,Freelance Project,Hackathon Winner,Teamwork,Yes,UI/UX Designer
26,Female,Amalapuram,M.Sc,IT,Graduate,56.84,"HTML/CSS, React, Python","Creativity, Time Management",Telugu,Data Science,Data Science,Office,Technical,Internship at XYZ,Hackathon Winner,Leadership,Yes,Data Scientist
21,Other,Mumbai,10th,EEE,Working Professional,66.05,React,"Leadership, Creativity","Tamil, Telugu",,Cybersecurity,Office,Technical,None,Top Performer,Project Management,No,Security Engineer
24,Other,Delhi,12th,ECE,Graduate,56.03,"React, C++","Time Management, Problem Solving, Teamwork","Tamil, Kannada",Data Science,AI/ML,Field Work,Analytical,None,Hackathon Winner,Problem Solving,No,Machine Learning Engineer
19,Female,Vizag,MBA,EEE,Working Professional,56.21,C++,Teamwork,Tamil,,Marketing,Remote,Analytical,Internship at XYZ,Awarded Best Project,Programming,Yes,SEO Analyst
18,Female,Mumbai,MBA,Civil,Graduate,60.56,HTML/CSS,"Creativity, Leadership","English, Hindi",Full Stack Development,Software Development,Remote,Analytical,None,Hackathon Winner,Leadership,No,Software Engineer
30,Other,Delhi,10th,ECE,Student,78.29,"Python, React",Time Management,Marathi,,Management,Remote,Creative,Startup Experience,Published Paper,Problem Solving,Yes,Project Manager
25,Other,Hyderabad,MCA,CSE,Working Professional,52.96,Data Analysis,Communication,"Kannada, Telugu","Azure, Data Science",Marketing,Hybrid,Social,None,Hackathon Winner,Leadership,No,Marketing Executive
24,Female,Bangalore,10th,EEE,Graduate,51.06,"Java, JavaScript, Python","Time Management, Problem Solving, Teamwork","Hindi, Tamil",Full Stack Development,AI/ML,Field Work,Social,Freelance Project,None,Data Analysis,Yes,AI Researcher
18,Male,Mumbai,B.Sc,EEE,Student,95.4,"HTML/CSS, JavaScript",Time Management,"Telugu, English",,Management,Remote,Creative,Research Assistant,Top Performer,Programming,No,Project Manager
27,Other,Pune,M.Sc,Commerce,Working Professional,97.82,"React, Node.js, Python","Creativity, Time Management, Teamwork","Telugu, Tamil","AWS, Azure",Design,Hybrid,Analytical,Freelance Project,Employee of the Month,Teamwork,No,Product Designer
23,Male,Mumbai,MCA,BBA,Working Professional,97.93,SQL,Problem Solving,Marathi,"Machine Learning, Full Stack Development",Marketing,Office,Technical,Internship at XYZ,Employee of the Month,Project Management,Yes,Digital Marketing Specialist
